Player,Pos,Team,Age,Min,Skill / Pot,ETV
Mohamed Salah,FW,Liverpool,32-314,2921.0,86.6 / 86.6,€18.3M
Mohammed Kudus,"FW,MF",West Ham,24-266,2241.0,73.1 / 79.0,€63M
Moisés Caicedo,MF,Chelsea,23-174,2901.0,81.1 / 91.9,€82.8M
Morgan Gibbs-White,MF,Nott'ham Forest,25-088,2377.0,77.1 / 80.0,€61.7M
Morgan Rogers,"FW,MF",Aston Villa,22-273,2763.0,69.2 / 78.4,€79.6M
Murillo,DF,Nott'ham Forest,22-295,2838.0,73.9 / 85.8,€66M
Myles Lewis-Skelly,DF,Arsenal,18-211,1078.0,59.7 / 79.0,€35.7M
Nathan Collins,DF,Brentford,23-360,2970.0,74.2 / 80.2,€30.7M
Neco Williams,DF,Nott'ham Forest,24-012,2144.0,71.6 / 78.5,€22.6M
Nick Pope,GK,Newcastle Utd,33-006,2070.0,70.1 / 71.3,€11.5M
Nicolas Jackson,FW,Chelsea,23-309,2025.0,81.5 / 91.3,€66.9M
Nicolás Domínguez,"MF,FW",Nott'ham Forest,26-301,1624.0,74.3 / 75.4,€18.8M
Nikola Milenković,DF,Nott'ham Forest,27-195,2880.0,78.2 / 80.3,€40.6M
Noni Madueke,FW,Chelsea,23-046,1646.0,76.1 / 86.4,€52.3M
Noussair Mazraoui,DF,Manchester Utd,27-162,2565.0,76.6 / 77.4,€45.3M
Nélson Semedo,DF,Wolves,31-160,2488.0,72.4 / 72.4,€8.3M
Ola Aina,DF,Nott'ham Forest,28-199,2569.0,74.2 / 74.7,€19.3M
Ollie Watkins,FW,Aston Villa,29-116,2263.0,80.4 / 80.9,€63.2M
Omar Marmoush,"FW,MF",Manchester City,26-077,916.0,77.1 / 79.4,€79.1M
Orel Mangala,MF,Everton,27-038,1261.0,71.2 / 71.5,€24.4M
Pape Matar Sarr,MF,Tottenham,22-223,1591.0,70.5 / 80.6,€50.8M
Pau Torres,DF,Aston Villa,28-099,1729.0,75.6 / 77.2,€46.1M
Paul Onuachu,FW,Southampton,30-332,984.0,63.1 / 63.1,€12.7M
Pedro Neto,FW,Chelsea,25-047,1833.0,70.6 / 75.9,€60.4M
Pedro Porro,DF,Tottenham,25-224,2463.0,74.6 / 79.7,€55.9M
Pervis Estupiñán,DF,Brighton,27-094,2042.0,74.0 / 76.2,€35.4M
Phil Foden,"MF,FW",Manchester City,24-332,1686.0,86.5 / 93.6,€99.8M
Raúl Jiménez,FW,Fulham,33-355,2044.0,68.8 / 68.8,€5.2M
Riccardo Calafiori,DF,Arsenal,22-341,925.0,73.1 / 80.7,€49.3M
Rico Lewis,"DF,MF",Manchester City,20-155,1810.0,75.0 / 88.9,€62.7M
Robert Sánchez,GK,Chelsea,27-158,2430.0,75.8 / 75.8,€24.8M
Rodrigo Bentancur,MF,Tottenham,27-304,1518.0,74.3 / 75.0,€31.4M
Rodrigo Muniz,FW,Fulham,23-356,964.0,66.7 / 71.6,€8.4M
Ryan Christie,MF,Bournemouth,30-062,2117.0,76.7 / 76.7,€16.2M
Ryan Gravenberch,MF,Liverpool,22-344,2831.0,86.8 / 98.3,€85.5M
Ryan Manning,"DF,MF",Southampton,28-315,1279.0,62.2 / 62.4,€3.8M
